key,atom,a0.25_rp1.5,a0.25_rp2.5,a0.5_rp1.5,a0.5_rp2.5,a1.0_rp1.5,a1.0_rp2.5
1D-000,0,0.951214875034,0.289177591776,1.06713517204,0.307993312473,1.20527208857,0.633852233252
1D-000,1,1.50437779059,0.404540205994,1.57849364196,0.430228702328,1.73901660724,0.935070622677
1D-000,2,1.50440858811,0.404478958495,1.57847724419,0.430158843109,1.73896082576,0.935006556244
1D-000,3,1.45975471589,0.262636591829,1.57975420415,0.281397250002,1.70212035386,0.776228362585
1D-000,4,1.45956447727,0.262707331827,1.57981100669,0.281456130228,1.70227939074,0.776243575525
1D-000,5,1.50783966908,0.427580197901,1.57391951306,0.456669825343,1.74695893662,0.964557777425
1D-000,6,1.5078716466,0.427479058124,1.57385626972,0.456519217956,1.74678095067,0.964412729781
1D-000,7,0.951403932133,0.289085944502,1.06710370865,0.307840078863,1.20509382162,0.633713316066
1D-001,0,1.44353616034,0.463199563528,1.53418513226,0.553152703571,1.76573680747,1.08364759606
1D-001,1,1.44346991718,0.463195380934,1.53423948276,0.553349988047,1.76596497688,1.08388990227
1D-001,2,1.44348615343,0.463217702819,1.53424939006,0.553327774937,1.76596419761,1.08385153595
1D-001,3,1.44346629523,0.463283835817,1.5342632735,0.553465128279,1.76606187748,1.08400672373
1D-001,4,1.4434671694,0.463273601314,1.53424184734,0.553524204147,1.76607897395,1.08409641071
1D-001,5,1.44349114699,0.463208980487,1.53419947697,0.553140378021,1.76574931012,1.08361748569
1D-001,6,1.44346508203,0.46319471554,1.53423341232,0.553232766219,1.76587786773,1.0837334616
1D-001,7,1.44357760149,0.463231539997,1.53424694658,0.55335858473,1.76593957702,1.08390057459
1D-002,0,1.51870606435,0.499780047687,1.55209630306,0.540898273049,1.75032028544,1.06006254259
1D-002,1,1.51866152851,0.499664554317,1.55199734766,0.540665048292,1.75005836167,1.05981458774
1D-002,2,1.51864170078,0.499945872137,1.55208653003,0.541099827346,1.75042928568,1.06027212663
1D-002,3,1.51872759459,0.499801678601,1.55213067888,0.540975951784,1.75041054917,1.06015233448
1D-002,4,1.51866253073,0.499665095251,1.5520224384,0.540689734053,1.75011301611,1.05983603604
1D-002,5,1.51866761506,0.499772797325,1.55203244255,0.540908747213,1.75025360721,1.06009359292
1D-002,6,1.51871242499,0.499705971362,1.55214250314,0.540748460924,1.75029278504,1.05987227768
1D-002,7,1.51870648314,0.499859858397,1.55208985809,0.540920298005,1.75030547036,1.06007051653
1D-003,0,1.48712106014,0.228317573505,1.57211642372,0.250774739067,1.6708916624,0.751334802541
1D-003,1,1.5206260379,0.386338910466,1.56063267725,0.421587137271,1.70915225787,0.93557630402
1D-003,2,0.590582266192,0.101003939007,1.01954128454,0.108263111296,1.20186317576,0.386211555194
1D-003,3,0.97897692753,0.258943844414,1.06162551633,0.28312690578,1.1783218937,0.615259348305
1D-003,4,0.978943534988,0.258829142585,1.06160675217,0.282941451082,1.17821148448,0.615053164458
1D-003,5,1.5206537099,0.386236528561,1.56079162779,0.421522864766,1.70934718118,0.935481225417
1D-003,6,0.590582266192,0.101003939007,1.01954128454,0.108263111296,1.20186317576,0.386211555194
1D-003,7,1.48718212328,0.228492741328,1.57228193091,0.250923613661,1.67115993925,0.7514388493
1D-004,0,0.581255344949,0.0949299696572,0.994250696506,0.103852305343,1.19321244696,0.379539522034
1D-004,1,1.52222372072,0.379005227466,1.55728313865,0.415690131862,1.70180247748,0.931095285029
1D-004,2,1.49134109393,0.220603023928,1.57019122166,0.244466824003,1.6645747957,0.746352384278
1D-004,3,0.983679969621,0.252877428105,1.06031937447,0.278482265933,1.17330101355,0.611933495681
1D-004,4,0.581255344949,0.0949299696572,0.994250696506,0.103852305343,1.19321244696,0.379539522034
1D-004,5,1.52235096382,0.378498643317,1.55785087783,0.415264106866,1.7023724922,0.930540596088
1D-004,6,0.983312296405,0.252613183324,1.06038210851,0.278041405632,1.17326402557,0.611372744965
1D-004,7,1.49183600748,0.22127015609,1.57069214189,0.245041928013,1.66535634689,0.746829324041
1D-005,0,0.979531629842,0.258317271577,1.06145640377,0.282425405435,1.17760256371,0.614649650778
1D-005,1,1.52075061197,0.38550307417,1.5604000573,0.420730347508,1.7084207914,0.934782006974
1D-005,2,0.579681960653,0.100651653746,1.01689625536,0.107881353706,1.20324334235,0.384570352466
1D-005,3,1.48773706477,0.227847474286,1.57194274747,0.250399956037,1.67033021335,0.751106373301
1D-005,4,1.48770306199,0.227850789287,1.57194988525,0.250401389106,1.67035008803,0.751100801237
1D-005,5,1.52075047591,0.385509162008,1.56040117212,0.420742120634,1.708431411,0.934795550695
1D-005,6,0.579681960653,0.100651653746,1.01689625536,0.107881353706,1.20324334235,0.384570352466
1D-005,7,0.97956549634,0.25829999336,1.06144668489,0.282399379296,1.17756680919,0.614628191587
1D-006,0,0.736191686839,0.211422582689,1.03525485688,0.26066614007,1.24240612166,0.569468903595
1D-006,1,1.49917361248,0.306966879529,1.57227592905,0.373913670099,1.72344499476,0.89105635649
1D-006,2,0.73603595419,0.211470666968,1.0352788479,0.260814829243,1.24258529502,0.569623894959
1D-006,3,1.49905206798,0.306987150333,1.57233198587,0.373892723175,1.72354259306,0.890989087828
1D-006,4,0.736200171974,0.211428318052,1.0352462854,0.260627622766,1.24236574906,0.5694191657
1D-006,5,1.49916679933,0.306895366222,1.57229133046,0.373877917456,1.7234713321,0.891033812245
