key,atom,a0.25_rp1.0,a0.25_rp2.0,a0.25_rp3.0,a0.5_rp1.0,a0.5_rp2.0,a0.5_rp3.0,a1.0_rp1.0,a1.0_rp2.0,a1.0_rp3.0
1D-000,0,0.0798447739771,0.0125136196319,0.00944468547156,0.57080689517,0.387342824645,0.106135006013,0.967199461569,1.011374206,0.318649926096
1D-000,1,0.0720680809612,0.0180729161953,0.0181943854443,0.734656708339,0.604132750131,0.162613292179,1.35629284572,1.48641385835,0.468940421266
1D-000,2,0.072045945103,0.0180736906766,0.0181886364752,0.734591531073,0.604132342045,0.162584982481,1.35623631823,1.48635712383,0.46888773795
1D-000,3,0.0953761323748,0.0137620121133,0.00967493040494,0.786149235109,0.527735417672,0.10365724355,1.37588538805,1.36644956744,0.346273827662
1D-000,4,0.0955036050975,0.0137531593189,0.00967432903658,0.786467089647,0.527639417047,0.10366156651,1.37612521901,1.36649695384,0.34629023402
1D-000,5,0.0664745416119,0.0238845202483,0.014570678236,0.71412503264,0.639610320628,0.156956570662,1.34655052297,1.51529052555,0.482848302168
1D-000,6,0.0664301611438,0.0238631985899,0.0145731703545,0.713968508115,0.639535796016,0.156963825435,1.34639256159,1.51511611073,0.482768708684
1D-000,7,0.0797395458642,0.0124906602287,0.00944082725263,0.570580134935,0.3873029019,0.10611832692,0.967009306975,1.01121923018,0.318559144906
1D-001,0,0.0621476522069,0.0601060267886,0.0151782874915,0.643823311323,0.77117383468,0.165181243569,1.30517593369,1.61729582923,0.55404380215
1D-001,1,0.0622014783871,0.0602017321318,0.0151899130303,0.643947157422,0.771383638133,0.165185063495,1.30533260788,1.61757280373,0.554176609599
1D-001,2,0.0622042374083,0.0601860069007,0.0151750176979,0.643966513619,0.771358327839,0.165155968945,1.30534553766,1.61754875534,0.554141437034
1D-001,3,0.0622160448019,0.0602173298615,0.0151844452421,0.643990147448,0.77147120026,0.165176294545,1.30539296562,1.61770088687,0.554239156331
1D-001,4,0.0621856963517,0.0602657301034,0.0151790380135,0.643896489149,0.771615470678,0.165156455946,1.30534305135,1.61779310922,0.554276292721
1D-001,5,0.0621897682937,0.0600792446054,0.015193125096,0.643924306793,0.77107598098,0.165218102216,1.3052380213,1.61725683963,0.554048310459
1D-001,6,0.0622158539865,0.0601375093989,0.0151880812255,0.643988395662,0.771204620507,0.165192362145,1.30532469733,1.61740661727,0.554096531839
